#{"t_start": 1780401903.7623403, "env_id": "None"}
r,l,t
-286.6298,13,75.275909
-284.30252,22,75.350528
-272.45264,13,75.392509
-258.59482,25,75.46645
-259.66708,27,75.544842
-328.6666,24,75.607764
-257.60916,15,75.652783
-288.01746,17,75.703976
-273.87085,24,75.767133
-318.41428,24,75.833468
-288.352,18,75.889524
-281.14392,17,75.945632
-286.00662,25,77.134942
-356.76547,38,77.264478
-297.66357,29,77.345005
-312.94797,15,77.397679
-273.6118,29,77.486651
-279.68427,24,77.552512
-266.05893,7,77.573433
-267.0997,14,77.619012
-285.1495,45,77.751252
-156.97668,20,77.806236
-207.58247,35,77.904659
-261.57495,17,77.954072
-54.620106,11,77.982937
-284.426,25,78.056956
-252.04616,29,78.13749
-102.5639,28,78.218006
-302.9015,45,78.348363
-270.89105,35,78.459245
-259.02942,43,78.5852
-283.27173,41,79.826489
-317.24066,17,79.886635
-281.10336,36,80.005446
-320.13617,29,80.09683
-282.0186,10,80.133451
-269.98453,26,80.213143
-281.53052,30,80.324333
-268.8084,32,80.418597
-210.4569,32,80.514525
-275.08395,25,80.593307
-281.52325,36,80.692231
-68.973045,36,80.787655
-271.86557,22,80.849935
-288.26456,25,80.931548
-294.99457,21,80.997334
-257.5973,22,81.066973
-266.2573,17,81.122499
-256.61172,16,81.168632
-259.77777,18,81.223653
-106.656876,17,81.27006
-266.94345,20,82.370752
-283.01343,31,82.482563
-268.74368,21,82.549087
-280.9402,37,82.658558
-339.864,26,82.768359
-255.51308,9,82.795188
-283.5507,23,82.872517
-266.74738,28,82.950371
-262.6021,32,83.044051
-265.4866,22,83.10642
-271.18747,9,83.130891
-267.1469,12,83.165869
-317.14764,14,83.204002
-278.98563,22,83.266015
-308.99908,37,83.380799
-275.86496,27,83.456292
-272.5251,21,83.517619
-320.67844,22,83.588309
-318.52567,21,83.661566
-120.01734,30,83.754507
-262.28735,15,83.799824
-147.08115,25,83.879522
-288.1334,15,83.936797
-281.21835,51,85.234344
-307.72668,16,85.282954
